batch / menu name,store items,main category,planned portions,yield unit,selling price / portion,labour,gas,other,outlet,ingredient source,optional,line cost
Fruit Salad,0.5 pack Watermelon,Salad,10,portion,4000,0,0,0,restaurant,raw,,1000
,0.5 pack Pineapple,,,,,,,,,raw,,750
,0.5 pack Pawpaw,,,,,,,,,raw,,1000
Bitter Leaf Soup,0.5 pack Bitter Leaf,African Soups,10,portion,5000,0,0,0,none,raw,,750
,0.5 mudu Cray Fish,,,,,,,,,raw,,2750
,1 kg Dry Fish,,,,,,,,,raw,,3000
,2 pcs Stock Fish Head,,,,,,,,,raw,,7000
,2 pcs Kpomo,,,,,,,,,raw,,2000
,0.5 kg Goat Intestine,,,,,,,,,raw,,3000
,15 pcs Fresh Pepper,,,,,,,,,raw,,300
,3 pcs Onions,,,,,,,,,raw,,350.01
,1 mudu Cocoyam Seed / Ede,,,,,,,,,raw,,3000
,2 sachet Cocoyam Powder,,,,,,,,,raw,,1600
,1 pack Uziza Leaf,,,,,,,,,raw,,500
,2 tsp Salt,,,,,,,,,raw,,8.24
Ogbono Soup,0.5 mudu Ogbono,African Soups,10,portion,5000,0,0,0,restaurant,raw,,2500
,0.5 mudu Cray Fish,,,,,,,,,raw,,2750
,2 pcs Stock Fish Head,,,,,,,,,raw,,7000
,1 kg Dry Fish,,,,,,,,,raw,,3000
,375 ml Red Oil,,,,,,,,,raw,,675
,15 pcs Fresh Pepper,,,,,,,,,raw,,300
,0.5 kg Goat Intestine,,,,,,,,,raw,,3000
,2 pcs Kpomo,,,,,,,,,raw,,2000
,2 pcs Onions,,,,,,,,,raw,,233.34
,2 tsp Salt,,,,,,,,,raw,,8.24
Jollof Spaghetti,1 pack Penny Pasta,Pasta,3,portion,4000,0,0,0,restaurant,raw,,5000
,3 pcs Tatashe,,,,,,,,,raw,,1285.71
,2 pcs Tomato,,,,,,,,,raw,,200
,0.14285714285714285 kg Fresh Pepper,,,,,,,,,raw,,428.57
,0.3333333333333333 pcs Ginger,,,,,,,,,raw,,166.67
,0.25 pcs Garlic,,,,,,,,,raw,,150
,0.5 cup Vegetable Oil,,,,,,,,,raw,,158.4
,0.25 pcs Tin Tomatoes,,,,,,,,,raw,,270.75
,1 tbsp Curry Powder,,,,,,,,,raw,,400
,1 tbsp Thyme,,,,,,,,,raw,,400
,2 tsp Salt,,,,,,,,,raw,,8.24
,2 pack Bay Leaf,,,,,,,,,raw,yes,2000
Liver Sauce,0.5 kg Liver,Breakfast,4,portion,5000,0,0,0,restaurant,raw,,3000
,0.5 pcs Garlic,,,,,,,,,raw,,300
,2 pcs Knorr Maggi,,,,,,,,,raw,,80
,1 tbsp Curry Powder,,,,,,,,,raw,,400
,1 tbsp Thyme,,,,,,,,,raw,,400
,2 tbsp Ginger,,,,,,,,,raw,,500
,0.15 kg Fresh Pepper,,,,,,,,,raw,,450
,2 cup Vegetable Oil,,,,,,,,,raw,,633.6
,1 pcs Onions,,,,,,,,,raw,,116.67
,1 pcs Aromatics Onions,,,,,,,,,raw,,116.67
,2 pcs Tatashe,,,,,,,,,raw,,857.14
,0.15 kg Carrot,,,,,,,,,raw,,450
,2 tsp Salt,,,,,,,,,raw,,8.24
,0.5 kg Tomato,,,,,,,,,raw,,500
,3 tbsp Corn Floor,,,,,,,,,raw,,67.5
